channel_name,tvg_id,match_type,suggested_id,suggested_score
Pac-12 Network USA,,,,
PBS USA,PBS.Stream.us2,exact,,
Reelz Channel,,,Rebel.cz,0.800
RTE 1,,,Arte.1.br,0.909
RTE 2,,,RTÉ.2FM.uk,0.833
RMC Sport 1 France,RMC.Sport.1.fr,exact,,
RMC Sport 2 France,RMC.Sport.Live.2.fr,exact,,
RMC Story France,RMC.Story.fr,exact,,
RTP 1 Portugal,RTP.1.HD.pt,exact,,
RTP 2 Portugal,RTP.2.HD.pt,exact,,
RTP 3 Portugal,,,RTP.1.HD.pt,0.800
Rai 1 Italy,,,,
Rai 2 Italy,,,,
Rai 3 Italy,,,,
Canale 5 Italy,Canale.5.it,exact,,
Rai Sport Italy,,,RaiSport.it,0.941
Rai Premium Italy,,,RaiPremium.it,0.952
Real Madrid TV Spain,Real.Madrid.TV.es,exact,,
RTL DE,RTL.de,exact,,
RDS CA,,,,
RDS 2 CA,,,,
RDS Info CA,,,,
Ring Bulgaria,,,,
RTL7 Netherland,,,,
Racing Tv UK,Racing.TV.uk,exact,,
Rally Tv,Rally.TV.de,exact,,
Root Sports Northwest,Root.Sports.Northwest.Plus.us2,exact,,
Sky Sports Football UK,Sky.Sports.Football.HD.uk,exact,,
Sky Sports+ Plus,Sky.Sports+.Dummy.us,exact,,
Sky Sports Action UK,,,SkySp.Action.uk,0.828
Sky Sports Main Event,Sky.Sports.Main.Event.HD.ie,exact,,
Sky Sports Tennis UK,,,SkySp.Tennis.HD.uk,0.828
Sky sports Premier League,Sky.Sports.Premier.League.HD.ie,exact,,
Sky Sports F1 UK,,,Sky.Sports.NFL.uk,0.889
Sky Sports Cricket,Sky.Sports.Cricket.HD.ie,exact,,
Sky Sports Golf UK,,,Sky.Sports.NFL.uk,0.828
Sky Sports 1 DE,,,Sky.Sport.1.de,0.957
Sky Sports 2 DE,,,Sky.Sport.2.de,0.957
Sky Sports Golf Italy,,,Sky.Sport.Golf.it,0.966
Sky Sport MotoGP Italy,Sky.Sport.MotoGP.it,exact,,
Sky Sport Tennis Italy,Sky.Sport.Tennis.it,exact,,
Sky Sport F1 Italy,Sky.Sport.F1.it,exact,,
Sky Sports News UK,,,Sky.Sports.NFL.uk,0.828
Sky Sports MIX UK,,,,
Sky Sport Top Event DE,Sky.Sport.Top.Event.de,exact,,
Sky Sport Mix DE,Sky.Sport.Mix.de,exact,,
Sky Sport Bundesliga 1 HD,Sky.Sport.Bundesliga.1.de,exact,,
Sky Sport Austria 1 HD,Sky.Sport.Austria.1.at,exact,,
SportsNet New York (SNY),,,SNY.SportsNet.New.York.HD.us2,0.818
Sky Sport MAX Italy,Sky.Sport.Max.it,exact,,
Sky Sport UNO Italy,Sky.Sport.Uno.it,exact,,
Sky Sport Arena Italy,Sky.Sport.Arena.it,exact,,
Sky Sports Racing UK,,,SkySp.Racing.HD.uk,0.828
Sky UNO Italy,Sky.Uno.it,exact,,
SONY TEN 1,Sony.Ten.1.HD.in,exact,,
SONY TEN 2,Sony.Ten.2.HD.in,exact,,
SONY TEN 3,,,Sony.Ten.5.HD.in,0.900
Sky Sport Bundesliga 2,Sky.Sport.Bundesliga.2.de,exact,,
Sky Sport Bundesliga 3,Sky.Sport.Bundesliga.3.de,exact,,
Sky Sport Bundesliga 4,Sky.Sport.Bundesliga.4.de,exact,,
Sky Sport Bundesliga 5,Sky.Sport.Bundesliga.5.de,exact,,
Sport en France,Sport.en.France.fr,exact,,
Starz Cinema,Starz.Cinema.HD.us2,exact,,
Starz Comedy,Starz.Comedy.HD.us2,exact,,
Starz Edge,Starz.Edge.HD.us2,exact,,
Starz In Black,Starz.in.Black.HD.us2,exact,,
Starz Kids & Family,,,,
Starz Encore,Starz.Encore.HD.us2,exact,,
Starz Encore Action,Starz.Encore.Action.HD.us2,exact,,
Starz Encore Black,Starz.Encore.Black.us2,exact,,
Starz Encore Classic,Starz.Encore.Classic.us2,exact,,
Starz Encore Family,Starz.Encore.Family.SD.us2,exact,,
Starz Encore Suspense,Starz.Encore.Suspense.us2,exact,,
Starz Encore Westerns,Starz.Encore.Westerns.SD.us2,exact,,
Spectrum SportsNet USA,,,Spectrum.SportsNet.Lakers.HD.us2,0.837
Canal+ Extra 1 Poland,CANAL+.EXTRA.1.HD.pl,exact,,
Canal+ Extra 2 Poland,CANAL+.EXTRA.2.HD.pl,exact,,
Canal+ Extra 3 Poland,CANAL+.EXTRA.3.HD.pl,exact,,
Canal+ Extra 4 Poland,CANAL+.EXTRA.4.HD.pl,exact,,
Canal+ Extra 5 Poland,CANAL+.EXTRA.5.HD.pl,exact,,
Canal+ Extra 6 Poland,CANAL+.EXTRA.6.HD.pl,exact,,
Canal+ Extra 7 Poland,CANAL+.EXTRA.7.HD.pl,exact,,
MTV Poland,MTV.Germany.pl,exact,,
Polsat Sport Premium 1 Super HD PL,,,Polsat.Sport.Premium.1.pl,0.880
Polsat Sport Premium 2 Super HD PL,,,Polsat.Sport.Premium.2.pl,0.880
Polsat Sport Extra 1 HD Poland,,,Polsat.Sport.Extra.pl,0.947
Polsat Sport Extra 2 HD Poland,,,Polsat.Sport.Extra.pl,0.947
Polsat Sport Extra 3 HD Poland,,,Polsat.Sport.Extra.pl,0.947
Polsat Sport Extra 4 HD Poland,,,Polsat.Sport.Extra.pl,0.947
Polsat Sport Fight HD Poland,Polsat.Sport.Fight.pl,exact,,
Polsat Sport NEWS HD Poland,Polsat.Sport.News.HD.pl,exact,,
Eleven Sports 4 Poland,Eleven.Sports.4.pl,exact,,
Sky Sport 1 NZ,Sky.Sport.1.nz,exact,,
Sky Sport 2 NZ,Sky.Sport.2.nz,exact,,
Sky Sport 3 NZ,Sky.Sport.3.nz,exact,,
Sky Sport 4 NZ,Sky.Sport.4.nz,exact,,
Sky Sport 5 NZ,Sky.Sport.5.nz,exact,,
Sky Sport 6 NZ,Sky.Sport.6.nz,exact,,
Sky Sport 7 NZ,Sky.Sport.7.nz,exact,,
Sky Sport 8 NZ,Sky.Sport.8.nz,exact,,
Sky Sport 9 NZ,Sky.Sport.9.nz,exact,,
Sky Sport Select NZ,Sky.Sport.Select.nz,exact,,
Sport TV1 Portugal,SPORT.TV1.HD.pt,exact,,
Sport TV2 Portugal,SPORT.TV2.HD.pt,exact,,
Sport TV4 Portugal,SPORT.TV4.HD.pt,exact,,
Sport TV3 Portugal,SPORT.TV3.HD.pt,exact,,
Sport TV5 Portugal,SPORT.TV5.HD.pt,exact,,
Sport TV6 Portugal,,,SPORT.TV1.HD.pt,0.889
SIC Portugal,SIC.HD.pt,exact,,
SEC Network USA,SEC.Network.HD.us2,exact,,
SporTV Brasil,SporTV.br,exact,,
SporTV2 Brasil,,,SporTV.2.br,0.933
SporTV3 Brasil,,,SporTV.3.br,0.933
Sport Klub 1 Croatia,,,,
Sport Klub 2 Croatia,,,,
Sport Klub 3 Croatia,,,,
Sport Klub 4 Croatia,,,,
Sport Klub HD Croatia,,,,
Sportsnet Ontario,Sportsnet.Ontario.HD.ca2,exact,,
Sportsnet One,Sportsnet.One.HD.ca2,exact,,
Sportsnet West,Sportsnet.East.HD.ca2,exact,,
Sportsnet East,Sportsnet.East.HD.ca2,exact,,
Sportsnet 360,Sportsnet.360.HD.ca2,exact,,
Sportsnet World,Sportsnet.World.HD.ca2,exact,,
SuperSport Grandstand,,,,
SuperSport PSL,,,SuperSport.1.al,0.846
SuperSport Premier league,,,Sky.Sport.Premier.League.at,0.857
SuperSport LaLiga,,,,
SuperSport Variety 1,,,,
SuperSport Variety 2,,,,
SuperSport Variety 3,,,,
SuperSport Variety 4,,,,
SuperSport Action,,,,
SuperSport Rugby,,,,
SuperSport Golf,,,SuperSport.1.al,0.815
SuperSport Tennis,,,,
SuperSport Motorsport,,,,
Supersport Football,,,V.Sport.Football.fi,0.800
SuperSport Cricket,,,,
SuperSport MaXimo 1,,,,
Sporting TV Portugal,Sporting.TV.HD.pt,exact,,
SportDigital Fussball,SPORTDIGITAL.FUSSBALL.HD.at,exact,,
Spectrum Sportsnet LA,,,Spectrum.SportsNet.Lakers.HD.us2,0.913
Sportdigital1+ Germany,SportDigital1+.de,exact,,
Sport1 Germany,SPORT1.de,exact,,
S4C UK,S4C.HD.uk,exact,,
Sport KLUB Golf Croatia,,,,
SAT.1 DE,SAT.1.de,exact,,
Sky Cinema Premiere UK,,,,
Sky Cinema Select UK,Sky.Cinema.Select.uk,exact,,
Sky Cinema Hits UK,Sky.Cinema.Hits.HD.uk,exact,,
Sky Cinema Greats UK,,,Sky.Cinema.Hits.HD.uk,0.812
Sky Cinema Animation UK,,,,
Sky Cinema Family UK,,,,
Sky Cinema Action UK,,,,
Sky Cinema Comedy UK,Sky.Cinema.Comedy.uk,exact,,
Sky Cinema Thriller UK,,,,
Sky Cinema Drama UK,,,,
Sky Cinema Sci-Fi Horror UK,,,,
Showtime SHOxBET USA,,,,
SEE Denmark,See.dk,exact,,
Sky Cinema Collection Italy,Sky.Cinema.Collection.it,exact,,
Sky Cinema Uno Italy,Sky.Cinema.Uno.it,exact,,
Sky Cinema Action Italy,Sky.Cinema.Action.it,exact,,
Sky Cinema Comedy Italy,Sky.Cinema.Comedy.it,exact,,
Sky Cinema Uno +24 Italy,Sky.Cinema.Uno.+24.it,exact,,
Sky Cinema Romance Italy,Sky.Cinema.Romance.it,exact,,
Sky Cinema Family Italy,Sky.Cinema.Family.it,exact,,
CW Philly,,,,
Sky Cinema Drama Italy,Sky.Cinema.Drama.it,exact,,
8Sky Cinema Suspense Italy,,,Sky.Cinema.Suspense.it,0.974
Sky Sport 24 Italy,Sky.Sport.24.it,exact,,
Sky Sport Calcio Italy,Sky.Sport.Calcio.it,exact,,
Sky Calcio 1 (251) Italy,,,Sky.Calcio.11..261.it,0.909
Sky Calcio 2 (252) Italy,,,,
Sky Calcio 3 (253) Italy,,,,
Sky Calcio 4 (254) Italy,,,,
Sky Sport Basket Italy,,,Sky.Sport.NBA.it,0.828
Sky Serie Italy,Sky.Serie.it,exact,,
StarzPlay CricLife 1 HD,,,en:.STARZPLAY.Cricket.1.ae,0.810
Sky Showcase UK,,,,
Sky Arts UK,Sky.Arts.HD.uk,exact,,
Sky Comedy UK,Sky.Comedy.HD.uk,exact,,
Sky Crime,Sky.Crime.at,exact,,
Sky History,Sky.History.HD.ie,exact,,
Sky MAX UK,,,Sky.Mix.HD.uk,0.857
SSC Sport 1,,,Sky.Sport.1.at,0.818
SSC Sport 2,,,S.SPORT.2.tr,0.900
SSC Sport 3,,,Sky.Sport.3.at,0.818
SSC Sport 4,,,Sky.Sport.4.at,0.818
SSC Sport 5,,,Sky.Sport.5.at,0.818
SSC Sport Extra 1,,,,
SSC Sport Extra 2,,,,
SSC Sport Extra 3,,,,
Sport 1 Israel,,,,
Sport 2 Israel,,,,
Sport 3 Israel,,,,
Sport 4 Israel,,,,
Sport 5 Israel,,,,
Sport 5 PLUS Israel,,,,
Sport 5 Live Israel,,,,
Sport 5 Star Israel,,,,
Sport 5 Gold Israel,,,,
Science Channel,India.Science.in,exact,,
Showtime USA,,,Showtime.2.HD.us2,0.889
Starz,Starz.HD.us2,exact,,
Sky Witness HD,Sky.Witness.HD.ie,exact,,
Sixx DE,sixx.de,exact,,
Sky Atlantic,Sky.Atlantic.at,exact,,
SYFY USA,Syfy.HD.us2,exact,,
Sundance TV,Sundance.TV.cz,exact,,
SWR DE,,,,
SUPER RTL DE,SUPER.RTL.de,exact,,
SR Fernsehen DE,,,,
Sky Sports Golf DE,,,Sky.Sport.Golf.de,0.966
Smithsonian Channel,Smithsonian.Channel.ca2,exact,,
Sky Sports F1 DE,,,Sky.Sport.F1.de,0.960
Sky Sports Tennis DE,,,Sky.Sport.Tennis.de,0.970
SBS6 NL,SBS6.nl,exact,,
SEE Denmark (2),,,,
Star Sports 1 IN,,,STAR.SPORTS.1.HINDI.in,0.914
Star Sports Hindi IN,,,Star.Sports.Hindi.1.in,0.923
Showtime 2 USA (SHO2) USA,,,Showtime.2.HD.us2,0.800
Showtime Showcase USA,Showtime.Showcase.HD.us2,exact,,
Showtime Extreme USA,Showtime.Extreme.HD.us2,exact,,
Showtime Family Zone (SHO Family Zone) USA,,,,
Showtime Next (SHO Next) USA,,,,
Showtime Women USA,Showtime.Women.HD.us2,exact,,
Space City Home Network,Space.City.Home.Network.HD.us2,exact,,
SportsNet Pittsburgh,SportsNet.Pittsburgh.HD.us2,exact,,
Show TV Turkey,SHOW.TV.HD.tr,exact,,
Star TV Turkey,STAR.TV.HD.tr,exact,,
TNT Sports 1 UK,TNT.Sports.1.HD.uk,exact,,
TNT Sports 2 UK,TNT.Sports.2.HD.uk,exact,,
TNT Sports 3 UK,TNT.Sports.3.HD.uk,exact,,
TNT Sports 4 UK,TNT.Sports.4.HD.uk,exact,,
TSN1,TSN1.mt,exact,,
TSN2,TSN2.mt,exact,,
TSN3,TSN3.mt,exact,,
TSN4,TSN4.mt,exact,,
TSN5,TSN5.mt,exact,,
TVN HD Poland,TVN.HD.pl,exact,,
TVN24 Poland,,,TVN.24.pl,0.909
TVP1 Poland,,,,
TVP2 Poland,,,,
Telecinco Spain,Telecinco.es,exact,,
TVE La 1 Spain,,,,
TVE La 2 Spain,,,,
TVI Portugal,TVI.HD.pt,exact,,
TVI Reality Portugal,TVI.Reality.HD.pt,exact,,
Teledeporte Spain (TDP),,,Teledeporte.es,0.846
TYC Sports Argentina,,,,
TVP Sport Poland,TVP.Sport.pl,exact,,
TNT Brasil,TNT.br,exact,,
TNT Sports Argentina,,,,
TNT Sports HD Chile,,,,
Tennis Channel,Tennis.Dummy.us,exact,,
Ten Sports PK,,,TNT.Sports.1.HD.ie,0.800
TUDN USA,TUDN.us2,exact,,
Telemundo,Telemundo.co,exact,,
TBS USA,TBS.HD.us2,exact,,
TLC,TLC.HD.at,exact,,
TNT USA,TNT.HD.us2,exact,,
TF1 France,TF1.fr,exact,,
TVA Sports,TVA.Sports.HD.ca2,exact,,
TVA Sports 2,TVA.Sports.2.HD.ca2,exact,,
TVC Deportes MX,,,Canal.TVC.Deportes.mx,0.800
TUDN MX,,,,
TMC France,TMC.fr,exact,,
Travel Channel,TravelChannel.au,exact,,
TruTV USA,truTV.HD.us2,exact,,
TVLAND,,,,
TCM USA,,,,
TMC Channel USA,,,,
The Food Network,FoodNetwork.au,exact,,
The Weather Channel,The.Weather.Network.Canada.HD.ca2,exact,,
TVP INFO,TVP.Info.ch,exact,,
TeenNick,TeenNick.(pl).cz,exact,,
TV ONE USA,TV.ONE.HD.us2,exact,,
TV2 Bornholm Denmark,,,TV.2/Bornholm.dk,0.909
TV2 Sport X Denmark,,,TV.2.Sport.X.dk,0.900
TV3 Sport Denmark,TV3.SPORT.dk,exact,,
TV2 Sport Denmark,,,TV3.SPORT.dk,0.889
TV2 Denmark,,,,
TV2 Zulu,,,,
TV3+ Denmark,TV3.dk,exact,,
TVO CA,TVO.ca2,exact,,
TV8 Turkey,TV8.HD.tr,exact,,
TV4 Hockey,,,,
TV3 Max Denmark,TV3.MAX.dk,exact,,
T Sports BD,,,T.Sports.7.th,0.857
TV4 Tennis,,,,
TV4 Motor,,,,
TV4 Sport Live 1,,,V.Sport.1.fi,0.900
TV4 Sport Live 2,,,V.Sport.Live.2.fi,0.900
TV4 Sport Live 3,,,V.Sport.Live.3.fi,0.900
TV4 Sport Live 4,,,V.Sport.Live.4.fi,0.900
TV4 Sportkanalen,,,[SPORTK].TV4.Sportkanalen.se,0.821
TV4 Football Sweden,,,,
Tennis+ 10,,,plex.tv.Tennis.Channel.2.plex,0.824
Tennis+ 12,,,plex.tv.Tennis.Channel.2.plex,0.941
TRT Spor TR,,,TRT.Spor.al,0.842
USA Network,,,,
Universal Kids USA,,,Universal.Movies.us2,0.800
Univision,Univision.Canada.ca2,exact,,
Unimas,UniMas.us2,exact,,
Viaplay Sports 1 UK,,,,
Viaplay Sports 2 UK,,,,
Vamos Spain,,,M+.Vamos.es,0.833
V Film Premiere,V.film.premiere.dk,exact,,
V Film Family,V.film.family.dk,exact,,
Vodafone Sport,,,,
V Sport Motor Sweden,,,,
VH1 USA,VH1.HD.us2,exact,,
Veronica NL Netherland,,,,
VTV+ Uruguay,,,,
VICE TV,plex.tv.VICE.plex,exact,,
Willow Cricket,Willow.Cricket.HD.us2,exact,,
Willow 2 Cricket,,,Willow.Cricket.HD.us2,0.933
WWE Network,WWE.Network.my,exact,,
Win Sports+ Columbia,,,,
WETV USA,,,,
WDR DE,WDR.de,exact,,
W9 France,W9.fr,exact,,
YTV CA,YTV.HD.ca2,exact,,
YES Network USA,Yes.Network.us2,exact,,
Yes Movies Action Israel,,,,
Yes Movies Kids Israel,,,,
Yes Movies Comedy Israel,,,,
Yes TV CA,,,,
Ziggo Sport NL,Ziggo.Sport.nl,exact,,
Ziggo Sport 2 NL,Ziggo.Sport.2.nl,exact,,
Ziggo Sport 3 NL,Ziggo.Sport.3.nl,exact,,
Ziggo Sport 4 NL,Ziggo.Sport.4.nl,exact,,
Ziggo Sport 5 NL,Ziggo.Sport.5.nl,exact,,
Ziggo Sport 6 NL,Ziggo.Sport.6.nl,exact,,
ZDF DE,ZDF.de,exact,,
ZDF Info DE,,,ZDFinfo.de,0.933
6ter France,6ter.fr,exact,,
20 Mediaset Italy,,,,
6'eren Denmark,6'eren.dk,exact,,
5 USA,,,,
3sat DE,3sat.de,exact,,
18+ (Player-01),,,,
18+ (Player-02),,,,
18+ (Player-03),,,,
18+ (Player-04),,,,
18+ (Player-05),,,,
18+ (Player-06),,,,
18+ (Player-07),,,,
18+ (Player-08),,,,
18+ (Player-09),,,,
18+ (Player-10),,,,
18+ (Player-11),,,,
18+ (Player-12),,,,
18+ (Player-13),,,,
18+ (Player-14),,,,
18+ (Player-15),,,,
18+ (Player-16),,,,
18+ (Player-17),,,,
18+ (Player-18),,,,
18+ (Player-19),,,,
18+ (Player-20),,,,
