channel_name,tvg_id,match_type,suggested_id,suggested_score
CNBC USA,CNBC.HD.us2,exact,,
Comedy Central,Comedy.Central.HD.at,exact,,
Cartoon Network,Cartoon.Network.HD.at,exact,,
CNN USA,CNN.HD.us2,exact,,
Cinemax USA,Cinemax.HD.us2,exact,,
Cuatro Spain,Cuatro.es,exact,,
Channel 4 UK,Channel.4.HD.uk,exact,,
Channel 5 UK,Channel.5.uk,exact,,
CBS Sports Network (CBSSN),,,,
Canal+ France,CANAL+.UHD.fr,exact,,
Canal+ Sport France,Canal+.Sport.fr,exact,,
Canal+ Foot France,Canal+.Foot.fr,exact,,
Canal+ Sport360,,,Canal+.Sport.360.ch,0.966
Canal 11 Portugal,Canal.11.HD.pt,exact,,
Canal+ Sport Poland,CANAL+.Sport.pl,exact,,
Canal+ Sport 2 Poland,CANAL+.Sport.2.HD.pl,exact,,
Canal+ Sport 3 Poland,CANAL+.Sport.3.HD.pl,exact,,
Canal+ Sport 5 Poland,CANAL+.Sport.5.pl,exact,,
Canal+ Premium Poland,CANAL+.PREMIUM.pl,exact,,
Canal+ Family Poland,CANAL+.Family.HD.pl,exact,,
Canal+ Seriale Poland,CANAL+.Seriale.pl,exact,,
Canal+ Sport 1 Afrique,,,,
Canal+ Sport 2 Afrique,,,,
Canal+ Sport 3 Afrique,,,,
Canal+ Sport 4 Afrique,,,,
Canal+ Sport 5 Afrique,,,,
CANAL 9 Denmark,Canal.9.dk,exact,,
Combate Brasil,Combate.br,exact,,
Cosmote Sport 1 HD,COSMOTE.Sport.1.HD.gr,exact,,
Cosmote Sport 2 HD,COSMOTE.Sport.2.HD.gr,exact,,
Cosmote Sport 3 HD,COSMOTE.Sport.3.HD.gr,exact,,
Cosmote Sport 4 HD,COSMOTE.Sport.4.HD.gr,exact,,
Cosmote Sport 5 HD,COSMOTE.Sport.5.HD.gr,exact,,
Cosmote Sport 6 HD,COSMOTE.Sport.6.HD.gr,exact,,
Cosmote Sport 7 HD,COSMOTE.Sport.7.HD.gr,exact,,
Cosmote Sport 8 HD,COSMOTE.Sport.8.HD.gr,exact,,
Cosmote Sport 9 HD,COSMOTE.Sport.9.HD.gr,exact,,
Channel 9 Israel,ערוץ.9.il,exact,,
Channel 10 Israe,,,,
Channel 11 Israel,כאן.11.il,exact,,
Channel 12 Israel,ערוץ.12.שידור.חי.il,exact,,
Channel 13 Israel,,,,
Channel 14 Israel,ערוץ.14.HD.il,exact,,
C More First Sweden,,,,
C More Hits Sweden,,,,
C More Series Sweden,,,,
COZI TV USA,COZI.TV.us2,exact,,
CMT USA,CMT.HD.us2,exact,,
CTV Canada,,,,
CTV 2 Canada,,,,
Crime+ Investigation USA,,,Crime.and.Investigation.Network.HD.us2,0.905
Comet USA,Comet.us2,exact,,
Cooking Channel USA,Cooking.Channel.HD.us2,exact,,
Cleo TV,Cleo.TV.HD.us2,exact,,
C SPAN 1,,,,
CBSNY USA,,,,
Chicago Sports Network,,,CHSN.Chicago.Sports.Network.us2,0.848
Citytv,CityTv.ca2,exact,,
CBC CA,,,,
Claro Sports MX,,,,
Canal5 MX,,,,
C8 France,,,,
CNews France,CNews.fr,exact,,
Canal+ Sport CZ,Canal.plus.Sport.CZ.cz,exact,,
CT Sport CZ,ČT.sport.cz,exact,,
Nova HD CZ,Nova.TV.cz,exact,,
CT1 HD CZ,ČT1.cz,exact,,
CT2 HD CZ,ČT2.cz,exact,,
TN Live CZ,,,,
OnePlay Sport 4 CZ,Oneplay.Sport.4.cz,exact,,
OnePlay MD2 CZ,,,,
OnePlay MD3 CZ,,,,
OnePlay MD4 CZ,,,,
Sport 1 CZ,,,Sport1.cz,0.923
Canal+ Sport 2 CZ,Canal.plus.Sport.2.cz,exact,,
Canal+ Sport 3 CZ,Canal+.Sport.3.cz,exact,,
Canal+ Sport 4 CZ,Canal+.Sport.4.cz,exact,,
Canal+ Sport 5 CZ,Canal.plus.Sport.5.cz,exact,,
Canal+ Sport 6 CZ,Canal.plus.Sport.6.cz,exact,,
Canal+ Sport 7 CZ,Canal+.Sport.7.cz,exact,,
Canal+ Sport 8 CZ,Canal+.Sport.8.cz,exact,,
JOJ SK,JOJ.HD.sk,exact,,
Dajto SK,DAJTO.HD.sk,exact,,
JOJ Šport SK,JOJ.ŠPORT.HD.sk,exact,,
Voyo Special 1 SK,,,,
Voyo Special 2 SK,,,,
Voyo Special 3 SK,,,,
Voyo Special 4 SK,,,,
Voyo Special 7 SK,,,,
Voyo Special 8 SK,,,,
Voyo Special 9 SK,,,,
Nova Sport 3 SK,Nova.Sport.3.HD.sk,exact,,
Nova Sport 4 SK,Nova.Sport.4.HD.sk,exact,,
Nova Sport 5 SK,Nova.Sport.5.HD.sk,exact,,
Canal+ Sport SK,CANAL+.Sport.HD.sk,exact,,
Canal+ Sport 2 SK,,,CANAL+.Sport.7.HD.sk,0.923
Canal+ Sport 3 SK,,,CANAL+.Sport.7.HD.sk,0.923
Canal+ Sport 4 SK,CANAL+.Sport.4.HD.sk,exact,,
CBS Sports Golazo,plex.tv.CBS.Sports.Golazo.Network.plex,exact,,
CMTV Portugal,CMTV.HD.pt,exact,,
Cytavision Sports 1 Cyprus,,,Cytavision.Sports.1HD.cy,0.950
Cytavision Sports 2 Cyprus,,,Cytavision.Sports.2HD.cy,0.950
Cytavision Sports 3 Cyprus,,,Cytavision.Sports.3HD.cy,0.950
Cytavision Sports 4 Cyprus,,,Cytavision.Sports.4HD.cy,0.950
Cytavision Sports 5 Cyprus,,,Cytavision.Sports.5HD.cy,0.950
Cytavision Sports 6 Cyprus,,,Cytavision.Sports.6HD.cy,0.950
Cytavision Sports 7 Cyprus,,,Cytavision.Sports.7HD.cy,0.950
DAZN 1 UK,,,,
Discovery Velocity CA,,,,
DAZN 1 Bar DE,,,,
DAZN 2 Bar DE,,,,
DAZN 1 Spain,DAZN.1.es,exact,,
DAZN 2 Spain,DAZN.2.es,exact,,
DAZN 3 Spain,DAZN.3.es,exact,,
DAZN 4 Spain,DAZN.4.es,exact,,
DAZN F1 ES,DAZN.F1.es,exact,,
DAZN LaLiga,DAZN.LALIGA.es,exact,,
DAZN Portugal FIFA Mundial de Clubes,,,,
DR1 Denmark,DR1.dk,exact,,
DR2 Denmark,DR2.dk,exact,,
DAZN Ligue 1 France,,,,
Digi Sport 1 Romania,Digi.Sport.1.ro,exact,,
Digi Sport 2 Romania,Digi.Sport.2.ro,exact,,
Digi Sport 3 Romania,Digi.Sport.3.ro,exact,,
Digi Sport 4 Romania,Digi.Sport.4.ro,exact,,
Diema Sport Bulgaria,Diema.Sport.HD.bg,exact,,
Diema Sport 2 Bulgaria,Diema.Sport.2.HD.bg,exact,,
Diema Sport 3 Bulgaria,Diema.Sport.3.bg,exact,,
Diema Bulgaria,,,,
Diema Family Bulgaria,,,,
Dubai Sports 1 UAE,Dubai.Sports.1.ae,exact,,
Dubai Sports 2 UAE,Dubai.Sports.2.ae,exact,,
Dubai Sports 3 UAE,,,Dubai.Sports.1.ae,0.929
Dubai Racing 2 UAE,Dubai.Racing.2.ae,exact,,
DSTV Mzansi Magic,,,Mzansi.Magic.HD.za,0.828
DSTV M-Net,,,,
DSTV kykNET & kie,,,KykNET.&.Kie.HD.za,0.800
DAZN ZONA Italy,,,,
Discovery Life Channel,Discovery.Life.pl,exact,,
Disney Channel,Disney+.at,exact,,
Discovery Channel,DiscoveryChannel.au,exact,,
Discovery Family,Discovery.Family.HD.ng,exact,,
Disney XD,Disney.XD.cz,exact,,
Destination America,Destination.America.HD.us2,exact,,
Disney JR,Disney.Jr..ro,exact,,
Dave,,,,
ESPN USA,ESPN.HD.us2,exact,,
ESPN2 USA,ESPN2.HD.us2,exact,,
ESPNU USA,ESPNU.HD.us2,exact,,
ESPN 1 NL,,,ESPN.2.nl,0.833
ESPN 2 NL,ESPN.2.nl,exact,,
Eleven Sports 1 Poland,Eleven.Sports.1.4K.pl,exact,,
Eleven Sports 2 Poland,Eleven.Sports.2.HD.pl,exact,,
Eleven Sports 3 Poland,Eleven.Sports.3.pl,exact,,
Eleven Sports 1 Portugal,,,,
Eleven Sports 2 Portugal,,,,
Eleven Sports 3 Portugal,,,,
Eleven Sports 4 Portugal,,,,
Eleven Sports 5 Portugal,,,,
EuroSport 1 Greece,Eurosport.1.HD.gr,exact,,
EuroSport 2 Greece,Eurosport.2.HD.gr,exact,,
EuroSport 1 Poland,Eurosport.1.pl,exact,,
EuroSport 2 Poland,Eurosport.2.pl,exact,,
Eurosport 1 SW,,,,
Eurosport 2 SW,,,,
Eurosport 1 NL,Eurosport.1.nl,exact,,
Eurosport 2 NL,Eurosport.2.nl,exact,,
EuroSport 1 Spain,,,Eurosport.2.es,0.909
EuroSport 2 Spain,Eurosport.2.es,exact,,
EuroSport 1 Italy,,,,
EuroSport 2 Italy,,,,
ESPN Premium Argentina,,,,
ESPN Brasil,ESPN.br,exact,,
ESPN2 Brasil,,,ESPN.2.br,0.909
ESPN3 Brasil,,,ESPN.3.br,0.909
ESPN4 Brasil,,,ESPN.4.br,0.909
ESPN Argentina,,,,
